DESIGNATION,Female,Male
IR60267-PMI-3-1-3-1,RD15_IR43485-22-2-2-2,IR68
IR62752-7,CT6510-24-1-3(C),CNA4117_IRAT144(B)
IR62829A,IR46828A_7*IR29744-94-3-2-2-2-3,IR29744-94-3-2-2-2-3
IR66452-179-2-6-1-4,PUSA615-140-10-1_IR57301-117-3-3,IR54950-181-2-1-2-3
IR67616-68-3-1-3,IET10364B_IR56382-17-3-2,PUSA615-140-10-1
IR68056-115-3-2,IR44962-161-2-4-4-2,PSBRC18(IR51672-62-2-1-1-2-3)
IR68312-20-4-2-1-1,IR24*7_IR64__BLB14210-4-10_3*IR24,IR68_7*IR24
IR68815-12-PMI15-UBN2-2-1-1-3,CT9993-5-10-1-M_PSBRC60(IR41431-68-1-2-3),IR57514-PMI5-B-1-2
IR68815-51-PMI2-UBN7-1-B,CT9993-5-10-1-M_PSBRC60(IR41431-68-1-2-3),IR57514-PMI5-B-1-2
IR68835-98-2-B-2-1-1-3,IR60290-CPA1-2-1-1-3_IR57519-PMI5-3-2-2,IR57458-PMI7-B-1-1
IR68885A,IR62829BM1_5*IR62829BM0,IR62829BM0
IR68897A,IR62829A_6*IR62856-15-3-1-1-7-5-10-3,IR62856-15-3-1-1-7-5-10-3
IR69428-6-1-1-3-3,IR65564-44-5-2_SENGKEU,IR65600-1-3-2
IR69502-15-SRN4-UBN3-B-7,IR57514-PMI5-B-1-2_IRRI119,IR43524-55-1-3-2
IR69502-6-SRN3-UBN1-B,IR57514-PMI5-B-1-2_IRRI119,IR43524-55-1-3-2
IR69502-6-SRN3-UBN1-B-10-2,IR57514-PMI5-B-1-2_IRRI119,IR43524-55-1-3-2
IR69502-6-SRN3-UBN2-B-2-2R,IR57514-PMI5-B-1-2_IRRI119,IR43524-55-1-3-2
IR69502-6-SRN-3-UBN-1-B-1,IR57514-PMI5-B-1-2_IRRI119,IR43524-55-1-3-2
IR69721-62-1-1-1,IRKESAR_IR72,IR1561-228-3*2_UTRIMERAH(ACC16682)
IR69726-116-1-3(MATATAG1),IR52256-84-2-3_IR72,IR1561-228-3*2_UTRIMERAH(ACC16682)
IR69726-29-1-2-2-2(MATATAG2),IR52256-84-2-3_IR72,IR1561-228-3*2_UTRIMERAH(ACC16682)
IR70169-3-2-1-2,IR43524-55-1-3-2_IR49733-SRN5-B-1-2,IR46237-105-3-3-1
IR70172-34-SRN2-1-1-1,IR43524-55-1-3-2_KHAODAWKMALI105,IR57519-PMI5-B-2-2
IR70175-42-1-1-1-3,IR43524-55-1-3-2_IR52555-UBN3-2-1,IR43487-11-2-3-2
IR70177-32-2-1-3-2,IR43524-55-1-3-2_IR54119-SRN4-B-1-1,IR46237-105-3-3-1
IR70177-76-2-1-2,IR43524-55-1-3-2_IR54119-SRN4-B-1-1,IR46237-105-3-3-1
IR70177-76-3-1-1,IR43524-55-1-3-2_IR54119-SRN4-B-1-1,IR46237-105-3-3-1
IR70179-1-1-1-1,IR43524-55-1-3-2_IR57514-SRN299-2-1-1,IR54119-SRN4-B-1-1
IR70181-26-PMI2-9-1-1,IR43524-55-1-3-2_IR57519-PMI5-B-2-2,IR43487-11-2-3-2
IR70181-32-PMI1-UBN1-B-1-2,IR43524-55-1-3-2_IR57519-PMI5-B-2-2,IR43487-11-2-3-2
IR70181-70-PMI3-5-B-2,IR43524-55-1-3-2_IR57519-PMI5-B-2-2,IR43487-11-2-3-2
IR70210-16-CPA2-B-1-1-1,IR54119-SRN4-B-1-1_KHAODAWKMALI105,IR46329-SRN-31-3-2-1
IR70213-9-CPA12-UBN2-1-3-1,IR57519-PMI5-B-2-2_IR52555-UBN3-2-1,IR43524-55-1-3-2
IR70215-4-CPA1-UBN1-1-3,IR57519-PMI5-B-2-2_IR57514-SRN299-2-1-1,IR43524-55-1-3-2
IR70215-4-CPA3-1-3-1,IR57519-PMI5-B-2-2_IR57514-SRN299-2-1-1,IR43524-55-1-3-2
IR70224-1-7-1-1-1-2,IR60298-PMI18-1-3-1_IR65,IR49746-UBN-33-B-3-1
IR70369A,IR62829A_7*IR62849-110-13-8-7-4-5-6,IR62849-110-13-8-7-4-5-6
IR71604-4-1-4-4-4-2-2-2R,IR1561*4_OBARTHII,IR64
IR71606-1-1-4-2-3-1-2(NSIC110,IR1561*3_HABIGANJDW8,IR64
IR71606-1-2-1-3-2-3-1,IR1561*3_HABIGANJDW8,IR64
IR71606-2-1-1-1-3-3-1-2,IR1561*3_HABIGANJDW8,IR64
IR72022-1-2-1-1-3-2,IRRI119_CN846-6-6,IR63429-23-1-3-3
IR72102-4-159-1-3-3-3(NSICRC112),IR1561*2_OBARTHII,IR64
IR72593-B-3-2-3-3,IR65195-3B-13-2-3(PSBRC86),IR20_IR24
IR73328A,IR68885A_7*IR68950-8-1-10-4-7-6-3,IR68950-8-1-10-4-7-6-3
IR73707-45-3-2-3,IR69133-49-1-3_IR67962-84-2-2,IR67303-7-3-4-1
IR73707-56-5-1-2,IR69133-49-1-3_IR67962-84-2-2,IR67303-7-3-4-1
IR73711-130-1-3-1,IR71605-1-1-1-3-2_IR65564-44-2-3,PSBRC2(IR32809-26-3-3)
IR73718-1-2-1-3,IR65469-161-2-2-3-2-2_IR65459-73-1-2-2-3-2,IR1529-ECIA
IR73718-193-1-1-3,IR65469-161-2-2-3-2-2_IR65459-73-1-2-2-3-2,IR1529-ECIA
IR73718-23-2-1-3,IR65469-161-2-2-3-2-2_IR65459-73-1-2-2-3-2,IR1529-ECIA
IR77298-12-7-29,IR64(WH)_ADAYSEL,IR64
IR77298-5-6-11,IR64(WH)_ADAYSEL,IR64
IR77298-5-6-18,IR64(WH)_ADAYSEL,IR64
IR77782-B-10-1-2,IR70179-1-1-1-1_IR73887-1-8-2-1,IR70215-4-CPA1-UBN1-1-3
IR81187-B-B-123,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR8234-OT-9-2,NAMSAGUI19_IR1721-11-6-8-3-2,IR2061-213-2-16
IR83704-31-3-3-2,IR04N114_IR73459-120-2-2-3,KHAOKHAE
IR96322-34-223-B,IR81896-B-B-195_2*IR05F102,IR91659:54-35
IR9764-45-2-2,IR32_MAHSURI,IR34
IR03A550,IR68427-15-2-3-1_IR68068-99-1-3-3-3,IR1529-ECIA
IR04N106,IR68544-29-2-1-3-1-2_IR73887-1-8-2-1,IR59682-132-1-1-2(PSBRC52)
IR06N170,IR68059-66-2-3-3-3_IR68544-29-2-1-3-1-2,PSBRC82
IR06N188,IR73008-138-2-2-2_IR68544-29-2-1-3-1-2,IR72870-19-2-2-3
IR06N234,IR72158-16-3-3_IR01A154,PSBRC64(IR59552-21-3-2-2)
IR08N158,IR02N444_IR73439-11-1-3-1,IR59682-132-1-1-2(PSBRC52)
IR09A136,IR01A135_IRRI123,IR01A163
IR09F291,IRRI119_IR02N404,C2764-10-2(PSBRC14)
IR09N202,IR04N114_IR01N144,IR72102-4-159-1-3-3-3(NSICRC112)
IR09N495,IR01N200_IR01N148,IRRI123
IR09N496,IR01N200_IR01N148,IRRI123
IR09N522,DONGANBYEO_PSBRC82,AREUMBYEO
IR09N529,IR74286-107-2-3_IR72969-143-5-3-6-2,PSBRC18(IR51672-62-2-1-1-2-3)
IR09N530,IR03N117_IR68373-R-R-B-22-2-2,IRRI143
IR09N531,IR04N114_IR73459-120-2-2-3,KHAOKHAE
IR09N534,IR04N114_IR73459-120-2-2-3,KHAOKHAE
IR09N538,IR55423-01(NSICRC9)_PR30138-35-2,IR04N114
IR10F188,IRRI123_KHAOHLANON,IR06F148
IR10F548,IR80410-B-197-4_IRRI149,IR06F393
IR10N102,IR72967-12-2-3_IR01N142,IRRI123
IR10N108,IR65620-192-3-3-3-2_IR02N463,IR72875-94-3-3-2
IR11T156,IRRI126_IR71701-28-1-4,IR68144-2B-2-2-3-1-120_OM2031
IR11T264,IRRI147_IR66946-3R-178-1-1__IR68312-20-4-2-1-1,IR65185-3B-8-3-2(PSBRC84)_IR71700-247-1-1-2__IR65195-3B-13-2-3(PSBRC86)_IR77778-B-8-1-2
IR12T217,IRRI126_AS996__IR68144-2B-2-2-3-1_IR61920-3B-22-2-1(NSICRC106),IR65185-3B-8-3-2(PSBRC84)_IR71700-247-1-1-2__IR72593-B-3-2-3-3_IR00A117
IRRI126,IR64,IR4630-22-2-5-1-3_IR9764-45-2-2
MRQ74,Q34_KHAODAWKMALI__KASTHURI,Q34
PR37139-3-1-3-1-2-1,ANGELICA_PULANGHUMOT,AR32-19-3-3
PR38012-3B-3-1,PR34544-B-7-3-2-1-1-2-1,C6688WH6-2-2-1_PR31563
SABITRI,IR1561-228-1-2_IR1737,CR94-13
SHWETHWEYIN,IR2153-14-1-6-2_IR28,IR36
SPTLR80146-PRE7-1-2-2,BKNLR75091-CNT-B3-RST-40-2-2_BKNBR1030-18-1,IR4427-70-6
BR6,IR833-6-2-1-1,IR1561-149-1_IR1737
C22,TJEREMAS_BPI76(ACC39),PALAWAN_AZUCENA
CSR36,CSR13_PANVEL2,IR36
CT11240-26-1-M-M,CT7242-16-9-1-1-M-M_P5589-1-1-3P-4,CT7378-2-1-3-1-4-M
CT11608-9-2-1-M,ORYZICASABANA6_CT6261-5-7-2P-5-1P,P5589-1-1-3P-4
CT11619-11-1-M,CT7179-31-1-1-4-4P_ORYZICASABANA6,P5589-1-1-3P-4
CT6241-2-2-1-3,NGOVIE_TAIPEI309,COL1XM312A-74-2-8-8
CT6510-24-1-3(C),P2057-F4-88-3-1_IRAT120__SUAKOKO,COL1XM312A-74-2-8-8
CT6516-21-4-4,TOX1010-49-1_IRAT121,COL1XM312A-74-2-8-8
CT8086-18-1,TOX1010-49-1_IRAT120,TOX1859-102-6M-3
CT9145-4-15-1-1,P2231-F4-13-2-1B_IR21015-72-3-3-3-1,P5746-18-11-2-2-2X
IR10205-37-1-3,IR2071-179-9-5_NONABOKRA,IR2153-26-3-5-6
IR13146-45-2-3,BG90-2_IR34,IR30864
IR13240-10-1,IR30(BPHS)_BABAWEE,IR36
IR13423-10-2-3,IR2863-38-1_IR2588-132-1-2,IR4417-177-1-4
IR13429-196-1,IR4432-53-33_PTB33,IR36
IR1561-288-3-3,P901-22-7-2-3-2-1B_P918-25-1-4-2-3-1B,P917-30-3-3-3-2-1B_P882-12-6-1-5-3-1-1-1B
IR19058-143-2-3,BABAWEE(ACC8978)_IR7149-5-3,IR36
IR19083-22-2-2,BHADOIA685_IR4227-24-3-1,IR2863-38-1
IR2055-475-2,BPI121-407,IR1416-131-5_IR22
IR2061-213-2-16,IR833-6-2-1-1,IR1561-149-1_IR1737
IR2061-214-3-14-8,IR833-6-2-1-1,IR1561-149-1_IR1737
IR2061-214-3-6-20,IR833-6-2-1-1,IR1561-149-1_IR1737
IR2061-464-2,IR833-6-2-1-1,IR1561-149-1_IR1737
IR2061-465-1-4,IR833-6-2-1-1,IR1561-149-1_IR1737
IR2071-88,IR1561-228-1-2_IR1737,CR94-13
IR20925-33-3-1-1-28,IR4570-124-3-2_IR2061-465-1-5-5,IR520-1-26
IR21820-154-3-2-2-3,IR1529_IR4432-52-6-4,IR7963-30-2
IR21841-81-3-3-2,IR4570-124-3-2_IR2061-465-1-5-5,IR4570-124-3-2-2-2
IR23325-R-R-B-1-3-1,BANAUERICE_IR5867-45-2-2,IR54
IR24632-34-2,IR5657-33-2_IR4707-106-3-2,OM1630-108-2
IR2797-125-3-2-3-2,IR1529_CR94-13,IR1721-11-13-25-2-3
IR28153-10-3-1,IR4215-301-2-2-6_IR4422,IR4570-74-2-2-3-3
IR28154-101-3-2,IR4215-301-2-2-6_IR4570-124-3-2-2-2,IR4570-74-2-2-3-3
IR28239-94-2-3-6-2,IR19660-152-3_IR9129-209-2-2,IR50
IR2843-79-2,CR94-13_IR480-5-9-3,IR1514A-E588
IR31805-20-1,IR13429-62-2_IR2415-90-4-3-2,IR9129-209-2-2-2-1
IR31917-45-3-2,2196_IR4570-74-2-2-3-3,IR17494-32-3-1-1-3
IR31917-45-3-2-2,2196_IR4570-74-2-2-3-3,IR17494-32-3-1-1-3
IR32,IR20*2_ONIVARA,CR94-13
IR32822-94-3-3-2-2,IR4442-46-3-3-3_IR1529,IR19661-131-1-2
IR33021-39-2-2,IR13423-10-2-3_IR4570-124-3-2-2-2,IR9828-41-2-1
IR34,IR833-6-2-1-1,IR1561-149-1_IR1737
IR35293-125-3-2-3,IR9761-19-1_IR9828-41-2-1,IR9129-209-2-2-2-1
IR35366-28-3-1-2-2,IR19661-9-2-3-3_IR15795-199-3-3,IR9129-209-2-2-2-1
IR39292-142-3-2-3,CR1002_IR19661-131-1-3-1-3,IR9129-209-2-2-2-1
IR42029-38-1-3-3-2,IR17491-5-4-3-3_NEWSABARMATI(BAS),IR25621-94-3-2
IR42104-241-3-6-2,IR27210-36-3_PUSA150-21-1,IR20925-23-3-2-1-1-3
IR42207-65-2-3,IR14632-22-3,IR19382-42-3-3-2_BKNFR76106-16-0-1
IR42221-14-1-3-1-2,IR52_MTU7029,IR4215-301-2-2-6
IR43485-22-2-2-2,KDM65-G1U-45_IR17525-114-2-1-1,IR19242-58-2-3-2
IR43506-UBN-520-2-1-1,NIAWSAMPATONG_IR19735-5-2-3-2,IR21848-65-3-2
IR43526-523-1-1-1,KHAODAWKMALI105_IR25588-32-2,KDM65-G1U-45
IR44624-127-1-2-2-3,IR21841-81-3-3-2_CEYSVONISML,IR21848-65-3-2
IR44625-139-2-2-3,IR21841-81-3-3-2_IR25861-31-1-3,IR64
IR4563-52-1-3-6,IR1545_IR1818-1-19-2-5,CR94-13
IR4570-124-3-2,IR1702-74-3-2_IR1721-11-6-8-3-2,IR2055-481-2
IR4570-124-3-2-2-2,IR1702-74-3-2_IR1721-11-6-8-3-2,IR2055-481-2
IR4570-74-2-2-3-3,IR1702-74-3-2_IR1721-11-6-8-3-2,IR2055-481-2
IR46008-411-2-1-24-3,IR19226-355-1-1-30_IR25873-1-3-2-3,IR25873-22-5-3
IR4630-22-2-17,PELITAI-1_POKKALI(ACC8948),IR2061-464-2_IR1820-52-2
IR49733-SRN5-B-1-2,KHAODAWKMALI105_IR00A101,IR20925-33-3-1-1-28
IR49924-B-B-B-B-10,IR17491-5-4-3-3_IR31406-333-1,IR31432-2-3_IR26702-25-1
IR52256-84-2-3,IR13540-56-3-2-1_IR32307-12-2-1-2,IR64
IR52287-15-2-3-2,IR31787-41-2-2-3-3_IR31868-64-2-3-3-3,IR50404
IR53929-298-1-1-2-3,IR24594-204-1-3-2-6-2_IR28222-9-2-2-2-2,IR68
IR53942-69-3-1-1-1,IR68_IR28222-9-2-2-2-2,IR28143-51-3-3-1-3
IR53960-219-2-1-3-1,IR31892-46-3-2_IR28222-9-2-2-2-2,IR68
IR53970-201-3-2-2-3,IR31906-67-1-1-2-2_IR31802-48-2-2-2,IRRI103
IR55600-133-3-1-2,IR32802-66-3-3-2_IR28222-9-2-2-2-2,IR68
IR57301-117-3-3,IR35293-125-3-2-3_IR50404,IRRI103
IR57458-PMI7-B-1-1,HAWMDONG_IR13146-45-2-3,IR28526-44-1-1
IR57519-PMI5-3-2-2,KHAODAWKMALI105_IR42207-65-2-3,IR21836-90-3
IR58029-180-2-3-3,IR24*4_OBARTHII,IR74
IR58115-103-3-1-1,IR39334-50-2-1-3-2,IR74
IR58761-80-2-2-3,IR39292-142-3-2-3_IR28222-23-1-3-3-2,IR39334-1-3-6-3-2
IR60290-CPA1-2-1-1-3,RD6_IR43446-7-3-2-1,RD15_RD4'76-G2-CO-2-1-3-12-14
IR60290-CPA-5-1-1-1-1,RD6_IR43446-7-3-2-1,RD15_RD4'76-G2-CO-2-1-3-12-14
IR60298-PMI18-1-3-1,BKNFR76106-16-0-1(RESEL2),IR31432-6-2-1-3_B4259-48-1-1-1-2-2-2-1-3
IR62752-06,CT6510-24-1-3(C),CNA4117_IRAT144(B)
IR62752-6,CT6510-24-1-3(C),CNA4117_IRAT144(B)
IR62849-110-13-8-7-4-5-6,C6B,IR35278-88-3-3_IR54752B
IR62921-74-2-2-3-3,IR50376-80-1-1-2-2,IR52287-15-2-3-2
IR65,BATATAIS_IR36,IR52
IR66438-167-3-3-2-3,PUSA615-140-10-1_IR53942-69-3-1-1-1,IR54950-181-2-1-2-3
IR67023-30-3-3-2-2,IET10364B_IR50363-61-1-2-2,PUSA615-140-10-1
IR68312-4-1-16-1,IR24*7_IR64__BLB14210-4-10_3*IR24,IR68_7*IR24
IR68809-61-1-B-1-1-1,CT9900-CA-30_IR52533-52-2-1-2-1-B-2-3,KHAODAWKMALI105
IR68809-61-1-B-1-1-4,CT9900-CA-30_IR52533-52-2-1-2-1-B-2-3,KHAODAWKMALI105
IR69502-1-SRN3-UBN1-B-3-1,IR57514-PMI5-B-1-2_IRRI119,IR43524-55-1-3-2
IR69502-6-SRN3-UBN1-3-1-3-2,IR57514-PMI5-B-1-2_IRRI119,IR43524-55-1-3-2
IR70175-25-1-1-2-1,IR43524-55-1-3-2_IR52555-UBN3-2-1,IR43487-11-2-3-2
IR70179-45-1-1-1,IR43524-55-1-3-2_IR57514-SRN299-2-1-1,IR54119-SRN4-B-1-1
IR71025-187-1-3-3,IR1561*4_OBARTHII__3*IR24_4_IR24*7_IR64__BLB14210-4-10_3*IR24,IR68_7*IR24
IR71605-1-1-1-3-2,IR1561*3_HABIGANJDW8,IR64
IR74286-107-2-3,IR58773-35-3-1-2_IR68059-137-2-1-3-3,IR64
IR9224-117-2-3-3,IR2153-14-1-6-2_IR28,IR36
IR9884-54-3,NONABOKRA_IR2070-414-3-9-6,IR34
IR02A464,IR69734-38-3-3_IR00A107,IRRI123
IR02N463,IR71459-45-2-3_IR68058-64-1-2,PSBRC64(IR59552-21-3-2-2)
LEMONT,LEBONNET,B6616A4-22-BK-5-4_IR659-10-8-3
MARAVILHA(CT6516-23-10-1-2-2),TOX1010-49-1_IRAT121,COL1XM312A-74-2-8-8
OM1630-108-2,IR1702-74-3-2_IR1721-11-6-8-3-2,IR2055-481-2
P122,B5223A5-14-1,250-2-2_MAGNOLIA
P5413-8-3-5-11,CR1113_IRAT122,COLOMBIA1_P1274-6-8M-1-3M-1
PR25545-2-1-2-1,NR15016-24-1-3_IR28526-44-1-1__IR53479-B-45-3-2-3,NR15016-24-1-3_IR28526-44-1-1_4_IR29725-22-3-3-3_IR13146-45-2-3
PR31563,IR64_IRBB5-21,PSBRC14
PSBRC2(IR32809-26-3-3),IR4215-301-2-2-6_BG90-2,IR19661-131-1-2
PSBRC20(IR57301-195-3-3),IR35293-125-3-2-3_IR50404,IRRI103
RATNAGIRI9-5-3-2,R-57_R-24,R45-2
RD4,17-1LT_IR8__EK1252,IR253-4-1-2-1(RD2)
RU2977-20-2-2,RU1636-30-1-4_IR64,RU1636-30-1-4
IR3403-267-1,IR1721-11-8-3-2-3_IR1529,IR833-6-2-1_IR1539-823-1-4
17-1LT,Q34_KHAODAWKMALI__KASTHURI,Q34
B4259-48-1-1-1-2-2-2-1-3,IR2058-78-1-3-2-3,IR4422
BG34-8,IR8-246,PP_MAS__H501
C1064-5,C22_IR26,C22_OS4
CSR13,CSR1_BASMATI370,CSR5
CT6261-5-7-2P-5-1P,CAMPONI(70127_6)__COL1XM312A-74-2-8-8,ITA235(TOX1785-19-18)
CT7242-16-9-1-1-M-M,TOX1780-2-1-1P-3_COL1XM312A-74-2-8-8,TOX718-AL-27-1CM-1JN
CT7378-2-1-3-1-4-M,TOX1010-24-2-1-1B_COL1XM312A-74-2-8-8,TOX1780-2-1-1P(2)
CT9900-CA-30,P5589-1-1-3P-5-2P,CT7244-9-2-1-31_CT6258-5-2-6-1-27
IR10068-11-1,IR1750-F5B-3_IR1746-88-1-2-1,BPI76*9_B505A1-28-7-1-2
IR10110-23-1,IR1754-F5B-23_IR3179-25,BPI76*9_B505A1-28-7-1-2
IR10198-66-2,IR2071-88-8_NONABOKRA,IR2153-26-3-5-6
IR13146-179,BG90-2_IR34,IR30864
IR13429-62-2,IR4432-53-33_PTB33,IR36
IR13540-56-3-2-1,RHEENATI___IR24_TKM6(ACC237)__IR20*4_ONIVARA_4_CR94-13_IR1529__IR1818-1-19-2,IR24_TKM6(ACC237)__IR20*4_ONIVARA_4_CR94-13_IR1529__IR1818-1-19-2
IR1539-60,IR24,MUDGO_IR8
IR1539-823-1-4,IR24,MUDGO_IR8
IR1818-1-19-2-5,IR24,IR400-28-4-5_TETEP
IR19226-355-1-1-30,IR2049-104-2_BASMATI370,IR4432-52-6-4
IR19226-355-1-2,IR2049-104-2_BASMATI370,IR4432-52-6-4
IR19242-58-2-3-2,IR2061-214-3-14-8-2_IR4432-103-6,IR30864
IR19382-42-3-3-2,IR4409-76-1-3_IR2863-38-1,IR4219-35-3-3
IR2055-451-2,BPI121-407,IR1416-131-5_IR22
IR2055-481-2,BPI121-407,IR1416-131-5_IR22
IR2061-125-37,IR833-6-2-1-1,IR1561-149-1_IR1737
IR2061-213,IR833-6-2-1-1,IR1561-149-1_IR1737
IR2061-464-4,IR833-6-2-1-1,IR1561-149-1_IR1737
IR2070-414-3-9-6,IR20*2_ONIVARA,CR94-13
IR2071-179-9-5,IR1561-228-1-2_IR1737,CR94-13
IR20925-23-3-2-1-1-3,IR4570-124-3-2_IR2061-465-1-5-5,IR520-1-26
IR21015-72-3-3-3-1,BATATAIS_IR36,IR52
IR2153-26-3-5-6,IR24_TKM6(ACC237),IR20*4_ONIVARA
IR21848-65-3-2-2,IR4570-124-3-2_IR4432-52-6-4,IR4570-124-3-2-2-2
IR25861-31-1-3,BPI121-407_IR7963-30-2,IR9129-209-2-2
IR25863-61-3-2,C4-63_OM1630-108-2,IR9129-209-2-2
IR25873-1-3-2-3,CRM8-5709-8-3_IR4570-124-3-2-2-2,OM1630-108-2
IR25873-22-5-3,CRM8-5709-8-3_IR4570-124-3-2-2-2,OM1630-108-2
IR26702-25-1,FR13A_OM1630-108-2,IR42
IR28143-51-3-3-1-3,IR2053-521-1-1-2_IR9129-209-2-2,IR13240-10-1
IR28150-84-3-3-2,IR4215-301-2-2-6_IR2415-90-4-3-2,IR15324-25-1
IR28194-42-1-2,IR9129-209-2-2_IR520-1-26,IR19228-271-1
IR28222-23-1-3-3-2,IR19660-73-4_IR1416-131-5,IR4570-74-2-2-3-3
IR28224-21-2-2-1,IR19660-73-4_IR2415-90-4-3-2,IR54
IR28526-44-1-1,B2025*C-MR-100-2-2_BG90-2,OM1630-108-2
IR2863-38-1,IR1529_CR94-13,IR480-5-9-3
IR30864,IR1416-131-5_IR1364-37-3-1,IR1366-120-3-1_IR1539-111
IR31406-333-1,KURKARUPPAN_CR1002,IR13415-9-3
IR31432-2-3,KURKARUPPAN_IR30864,IR13168-143-1
IR31432-6-2-1-3,KURKARUPPAN_IR30864,IR13168-143-1
IR31748-4-3-2,IR520-1-26_IR19228-83-1,IR9129-209-2-2-2-1
IR31787-41-2-2-3-3,IR10179-2-3-1_IR8608-253-5-3-2,IR9129-209-2-2-2-1
IR31892-46-3-2,TETEP_IR2415-90-4-3-2,IR19661-131-1-2
IR31906-67-1-1-2-2,2196_BR4,IR9129-209-2-2-2-1
IR32802-66-3-3-2,BG379-5_IR9828-41-2-1,IR17494-32-2-2-1-3
IR32809-314-2-3-1,IR4215-301-2-2-6_BG90-2,IR19661-131-1-2
IR35278-88-3-3,IR00A101_IR54,NEWSABARMATI(BAS)
IR35346-47-3-2-2,IR17492-18-10-2-2-2_IR13384-68-2-3-3-3-3,IR19661-63-1-2-3
IR39334-1-3-6-3-2,IR5533-13-1-1_IR17494-32-3-1-1-3,IR9129-209-2-2-2-1
IR39334-50-2-1-3-2,IR5533-13-1-1_IR17494-32-3-1-1-3,IR9129-209-2-2-2-1
IR39448-76-1,IR19226-355-1-2-36_IR520-1-26,IR25849-28-4-2
IR42000-211-1-2-2-3,IR9669-PP836-1_IR1905-81-3-1,IR25621-94-3-2
IR43446-7-3-2-1,PANKAJ_JAGANNATH__IR13423-10-2-3,IR64
IR44,IR1529_CR94-13,IR480-5-9-3
IR44488-74-2-3,BASMATI370_IR25873-1-3-2-3,PUSA167-120-3-2
IR44501-45-2-4-1,CR1002_IR5533-PP854-1,IR21820-154-3-2-2-3
IR45912-9-1-2-2,ADT30_IR22099-2-3,IR25890-82-5-3
IR4707-106-3-2,IR1888-156_IR2061-213-2,IR1561-228-3-3
IR49500-54-1-2-3,IR21841-81-3-3-2_IR28154-101-3-2,IR29723-143-3-2-1
IR52,NAMSAGUI19_IR2071-88,IR2061-214-3-6-20
IR52280-117-1-1-3,IR28222-9-2-2-2-2_IR31868-64-2-3-3-3,IR4563-52-1-3-6
IR52280-96-2-2-3,IR28222-9-2-2-2-2_IR31868-64-2-3-3-3,IR4563-52-1-3-6
IR52533-52-2-1-2-1-B-2-3,IR28154-101-3-2_IR26702-25-1,IR33238-25-2-3-2
IR53912-98-1-2-2,IR13427-45-3-1-2-2-2_IR64,IR42015-83-3-2-2
IR53915-137-3-2-3,IR13427-45-3-1-2-2-2_IR31868-64-2-3-3-3,IR32429-122-3-1-2
IR53915-99-2-2-2,IR13427-45-3-1-2-2-2_IR31868-64-2-3-3-3,IR32429-122-3-1-2
IR54035-73-3-3-3-2,IR37721-9-2-1-3_IR32720-138-2-1-1-2,IR68
IR55605-160-2-3-3,IR32809-10-3-3-1_IR70,S1-5-78-6-2
IR5657-33-2,IR2006-P3-31-3_IR2146-68-1,IR2061-465-1-4_IR2055-475-2
IR57409-37-3-1-2,S1-5-78-6-2_IR74,IR37721-9-2-1-3
IR5867-45-2-2,IR747-B2-6_KN1B361-1-8-6,IR747-B2-6_KN-1B-214-1-4-3
IR59183,LMN111MUT_IR65,KARIJAWA
IR60158-47-1-1-2,IR46008-411-2-1_IR46010-172-6-4-2-1,IR45100-36-2-3
IR69734-38-3-3,IR21841-81-3-3-2_CEYSVONISML__IR21848-65-3-2,IR1561-228-3*2_UTRIMERAH(ACC16682)
IR71459-45-2-3,IR66160-143-6-5-3_IR66750-6-2-1,IR66159-23-2-2-1
IR7963-30-2,IR3264-13_IR1702-74-3,IR2055-219-1-3
IR9698-26-3,73-1095_IR1632-93-2-2,IR36
IR9703-144-3,ADT4_IR36,IR36
IR9752-136-2,IR28_KWANGCHANGAI,IR36
IR9761-19-1,IR30_IR2588-48-3,IR36
IR9828-41-2-1,IR2071-559-2-4-6_IR1820-52-2-4-1,IR36
IRRI103,IR4547-4-1-2_IR1905-81-3-1,IR25621-94-3-2
LEUANGTAWNG,Q34_KHAODAWKMALI__KASTHURI,Q34
ORYZICASABANA6,TOX1780-2-1-1P-4_COL1XM312A-74-2-8-8,IAC47
P1274-6-8M-1-3M-1,P901-22-7-2-3-2-1B_P914-43-8-3-5-2-1B,P914-43-8-3-5-2-1B_P882-12-6-1-5-3-1-1-1B
P918-25-1-4-2-3-1B,CICA4,IR665-23-3-1_TETEP
RU1636-30-1-4,PANDANGELAP_MAHSURI(PONNI),RU505-64-3-1-2-1
TOX1010-49-1,IRAT13_DOURADO689,TOX494-5
TOX1011-4-1,IRAT13_DOURADO689,TOX490-1
CT6258-5-2-6-1-27,CAMPONI(70127_6)__COL1XM312A-74-2-8-8,IAC165
CT7244-9-2-1-31,TOX1780-2-1-1P-4_COL1XM312A-74-2-8-8,IAC47
IR13240-108-2-2-3,IR30(BPHS)_BABAWEE,IR36
IR13427-45-3-1-2-2-2,IR3403-267_PTB33,IR36
IR1366-120-3-1,SIGADIS*2_TAICHUNGNATIVE1,B5580A1-15_SIGADIS
IR15324-25-1,RATHUHEENATI_IR3403-267-1,IR4417-177-1-4
IR1818-1-19-2,IR24*3_W1543,IR400-28-4-5_TETEP
IR19225-88-3,IR2049-104-2_BASMATI370,IR36
IR19226-355-1-2-36,IR2049-104-2_BASMATI370,IR4432-52-6-4
