S.No.,Year,Season,Treatment,Design,Study_Name,Plot_No,Rep,Entry_No,Block,Entry-Check,YKGH,Row,Col
16461,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,110,1,93,22,Entry,3630.28,4,26
16462,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,253,2,93,23,Entry,3975.47,5,29
16711,2017,WS,Stress,Alpha-Lattice,L17WS-14A,34,1,78,9,Entry,853.85,2,11
16712,2017,WS,Stress,Alpha-Lattice,L17WS-14A,114,2,78,6,Entry,1478.85,1,45
17517,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,129,1,51,33,Entry,4279.9,2,55
17813,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,523,2,51,57,Entry,4131.7,4,79
19309,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,79,1,51,1,Entry,5309.773256,1,79
19702,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,85,1,50,1,Entry,650.5157807,1,85
15827,2017,DS,Stress,Alpha-Lattice,L17DS-14,15,1,16,3,Entry,1906,1,15
15828,2017,DS,Stress,Alpha-Lattice,L17DS-14,158,2,16,8,Entry,2141,2,38
16067,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,15,1,16,3,Entry,5136.74,1,15
16068,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,158,2,16,8,Entry,5963.73,2,38
15807,2017,DS,Stress,Alpha-Lattice,L17DS-14,34,1,6,7,Entry,3278.1,2,10
15808,2017,DS,Stress,Alpha-Lattice,L17DS-14,125,2,6,1,Entry,2010,1,29
16047,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,34,1,6,7,Entry,5479.21,2,10
16048,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,125,2,6,1,Entry,5461.48,1,29
16457,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,18,1,91,4,Entry,5595.49,1,18
16458,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,254,2,91,23,Entry,4401.61,5,30
16673,2017,WS,Stress,Alpha-Lattice,L17WS-14A,84,1,59,21,Entry,1009.62,4,15
16674,2017,WS,Stress,Alpha-Lattice,L17WS-14A,103,2,59,3,Entry,1192.86,1,34
17749,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,15,1,283,4,Entry,5454.6,1,15
18045,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,412,2,283,29,Entry,5425.8,2,116
19541,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,221,1,283,3,Entry,5642.312128,3,59
19881,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,154,1,229,2,Entry,736.436819,2,66
15845,2017,DS,Stress,Alpha-Lattice,L17DS-14,64,1,25,13,Entry,1160,3,16
15846,2017,DS,Stress,Alpha-Lattice,L17DS-14,134,2,25,3,Entry,1218,1,38
16085,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,64,1,25,13,Entry,5832.81,3,16
16086,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,134,2,25,3,Entry,6515.25,1,38
16479,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,90,1,102,18,Entry,3597.62,4,6
16480,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,266,2,102,26,Entry,2602.53,5,42
16691,2017,WS,Stress,Alpha-Lattice,L17WS-14A,92,1,68,23,Entry,1037.5,4,23
16692,2017,WS,Stress,Alpha-Lattice,L17WS-14A,178,2,68,22,Entry,545,4,40
15821,2017,DS,Stress,Alpha-Lattice,L17DS-14,26,1,13,6,Entry,1765,2,2
15822,2017,DS,Stress,Alpha-Lattice,L17DS-14,143,2,13,5,Entry,1342.7,1,47
16061,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,26,1,13,6,Entry,6478.31,2,2
16062,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,143,2,13,5,Entry,5335.08,1,47
16465,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,63,1,95,13,Entry,4304.66,3,7
16466,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,162,2,95,5,Entry,3811.98,1,50
16669,2017,WS,Stress,Alpha-Lattice,L17WS-14A,32,1,57,8,Entry,1037.5,2,9
16670,2017,WS,Stress,Alpha-Lattice,L17WS-14A,162,2,57,18,Entry,1350,4,24
17518,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,217,1,52,55,Entry,3252.8,3,69
17814,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,555,2,52,65,Entry,3787,4,111
19310,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,34,1,52,1,Entry,4379.918033,1,34
19703,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,231,1,51,3,Entry,463.5379737,3,55
15841,2017,DS,Stress,Alpha-Lattice,L17DS-14,98,1,23,20,Entry,1349,5,2
15842,2017,DS,Stress,Alpha-Lattice,L17DS-14,165,2,23,9,Entry,1681,2,45
16081,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,98,1,23,20,Entry,6097.24,5,2
16082,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,165,2,23,9,Entry,6271.96,2,45
16477,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,106,1,101,22,Entry,3899.85,4,22
16478,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,255,2,101,23,Entry,2899.42,5,31
16707,2017,WS,Stress,Alpha-Lattice,L17WS-14A,18,1,76,5,Entry,1108.93,1,18
16708,2017,WS,Stress,Alpha-Lattice,L17WS-14A,179,2,76,22,Entry,607.14,4,41
17748,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,200,1,282,50,Entry,2467.9,3,52
18044,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,417,2,282,31,Entry,5303.9,2,121
19540,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,203,1,282,3,Entry,4709.330233,3,41
19880,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,36,1,228,1,Entry,1074.207337,1,36
15823,2017,DS,Stress,Alpha-Lattice,L17DS-14,112,1,14,23,Entry,935.4,5,16
15824,2017,DS,Stress,Alpha-Lattice,L17DS-14,175,2,14,11,Entry,832.3,3,31
16063,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,112,1,14,23,Entry,5368.68,5,16
16064,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,175,2,14,11,Entry,4851.87,3,31
15829,2017,DS,Stress,Alpha-Lattice,L17DS-14,84,1,17,17,Entry,1475,4,12
15830,2017,DS,Stress,Alpha-Lattice,L17DS-14,137,2,17,4,Entry,1623,1,41
16069,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,84,1,17,17,Entry,5781.21,4,12
16070,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,137,2,17,4,Entry,5760.17,1,41
16469,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,25,1,97,5,Entry,5095.33,1,25
16470,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,225,2,97,17,Entry,4457.36,4,29
16827,2017,WS,Stress,Alpha-Lattice,L17WS-14B,7,1,44,2,Entry,360.18,1,7
16828,2017,WS,Stress,Alpha-Lattice,L17WS-14B,63,2,44,2,Entry,290.74,1,19
17519,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,82,1,53,21,Entry,2869.2,2,8
17815,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,474,2,53,45,Entry,5177,3,104
19311,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,252,1,53,4,Entry,3973.070158,4,9
19704,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,39,1,52,1,Entry,929.5861116,1,39
15843,2017,DS,Stress,Alpha-Lattice,L17DS-14,110,1,24,22,Entry,2088,5,14
15844,2017,DS,Stress,Alpha-Lattice,L17DS-14,173,2,24,11,Entry,2372,3,29
16083,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,110,1,24,22,Entry,4990.75,5,14
16084,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,173,2,24,11,Entry,5732.19,3,29
15847,2017,DS,Stress,Alpha-Lattice,L17DS-14,91,1,26,19,Entry,2044,4,19
15848,2017,DS,Stress,Alpha-Lattice,L17DS-14,229,2,26,22,Entry,1679,5,37
16087,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,91,1,26,19,Entry,4808.48,4,19
16088,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,229,2,26,22,Entry,6159.69,5,37
16481,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,127,1,103,26,Entry,3779.28,5,15
16482,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,245,2,103,21,Entry,2286.12,4,49
16703,2017,WS,Stress,Alpha-Lattice,L17WS-14A,51,1,74,13,Entry,917.31,3,5
16704,2017,WS,Stress,Alpha-Lattice,L17WS-14A,106,2,74,4,Entry,446.43,1,37
17113,2018,DS,Non-Stress,Alpha-Lattice,L18DS-12,15,1,132,3,Entry,4685.08,1,15
17114,2018,DS,Non-Stress,Alpha-Lattice,L18DS-12,231,2,132,11,Entry,3921.14,4,33
17421,2018,DS,Stress,Alpha-Lattice,L18DS-14,15,1,132,15,Entry,2986.8,1,15
17422,2018,DS,Stress,Alpha-Lattice,L18DS-14,231,2,132,11,Entry,3254.7,4,33
17520,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,79,1,54,20,Entry,3507.3,2,5
17816,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,467,2,54,43,Entry,3307.7,3,97
19312,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,307,1,54,4,Entry,4143.343256,4,64
19705,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,128,1,53,2,Entry,66.22621564,2,40
15809,2017,DS,Stress,Alpha-Lattice,L17DS-14,118,1,7,24,Entry,2118.8,5,22
15810,2017,DS,Stress,Alpha-Lattice,L17DS-14,178,2,7,12,Entry,1962,3,34
16049,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,118,1,7,24,Entry,4294.8,5,22
16050,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,178,2,7,12,Entry,5665.88,3,34
16459,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,133,1,92,27,Entry,3445.99,5,21
16460,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,193,2,92,11,Entry,2337.95,2,53
16723,2017,WS,Stress,Alpha-Lattice,L17WS-14A,40,1,84,10,Entry,1108.93,2,17
16724,2017,WS,Stress,Alpha-Lattice,L17WS-14A,111,2,84,5,Entry,1108.93,1,42
15813,2017,DS,Stress,Alpha-Lattice,L17DS-14,49,1,9,10,Entry,964,3,1
15814,2017,DS,Stress,Alpha-Lattice,L17DS-14,141,2,9,5,Entry,1037,1,45
16053,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,49,1,9,10,Entry,5956.79,3,1
16054,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,141,2,9,5,Entry,6221.76,1,45
15833,2017,DS,Stress,Alpha-Lattice,L17DS-14,76,1,19,16,Entry,2203,4,4
15834,2017,DS,Stress,Alpha-Lattice,L17DS-14,132,2,19,3,Entry,2322,1,36
16073,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,76,1,19,16,Entry,4735.57,4,4
16074,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,132,2,19,3,Entry,5064.73,1,36
15815,2017,DS,Stress,Alpha-Lattice,L17DS-14,20,1,10,4,Entry,2055,1,20
15816,2017,DS,Stress,Alpha-Lattice,L17DS-14,231,2,10,23,Entry,1563.6,5,39
16055,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,20,1,10,4,Entry,5094.84,1,20
16056,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,231,2,10,23,Entry,5365.1,5,39
17661,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,70,1,195,18,Entry,1566.1,1,70
17957,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,385,2,195,23,Entry,2346.4,2,89
19453,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,142,1,195,2,Entry,4303.143316,2,61
19801,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,65,1,149,1,Entry,160.2632429,1,65
17691,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,270,1,225,68,Entry,4933.1,4,48
17987,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,311,2,225,4,Entry,4944.1,1,89
19483,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,231,1,225,3,Entry,5112.295082,3,69
19828,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,23,1,176,1,Entry,341.8381989,1,23
17692,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,139,1,226,35,Entry,2957.4,2,65
17988,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,304,2,226,2,Entry,3392.1,1,82
19484,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,255,1,226,4,Entry,5254.939418,4,12
19829,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,87,1,177,1,Entry,193.5251799,1,87
17693,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,94,1,227,24,Entry,2608.2,2,20
17989,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,308,2,227,3,Entry,4298.1,1,86
19485,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,251,1,227,4,Entry,3516.27452,4,8
19830,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,220,1,178,3,Entry,376.5253078,3,44
17694,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,43,1,228,11,Entry,4710.2,1,43
17990,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,350,2,228,14,Entry,4913.9,1,128
19486,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,18,1,228,1,Entry,4532.489429,1,18
19831,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,197,1,179,3,Entry,1096.542934,3,21
17695,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,229,1,229,58,Entry,4316.2,4,7
17991,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,509,2,229,54,Entry,4352.8,3,139
19487,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,174,1,229,3,Entry,4909.597384,3,12
19832,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,147,1,180,2,Entry,539.7915984,2,59
17696,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,135,1,230,34,Entry,1327.9,2,61
17992,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,472,2,230,44,Entry,4072.4,3,102
19488,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,135,1,230,2,Entry,5329.438457,2,54
19833,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,133,1,181,2,Entry,639.8434705,2,45
17697,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,295,1,231,74,Entry,4432.4,4,73
17993,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,357,2,231,16,Entry,4890,1,135
19489,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,35,1,231,1,Entry,5092.909836,1,35
19632,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,19,1,50,1,Entry,167.3611111,1,10
17698,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,140,1,232,35,Entry,4656.4,2,66
17994,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,537,2,232,61,Entry,3654.9,4,93
19490,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,26,1,232,1,Entry,4013.453584,1,26
19834,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,160,1,182,2,Entry,746.3105961,2,72
17582,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,243,1,116,61,Entry,4639.3,4,21
17878,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,389,2,116,24,Entry,4002.6,2,93
19374,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,44,1,116,1,Entry,4352.580311,1,44
19617,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,2,1,35,1,Entry,2686.013986,2,1
17662,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,122,1,196,31,Entry,4362.5,2,48
17958,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,513,2,196,55,Entry,4315.3,3,143
19454,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,137,1,196,2,Entry,5863.335521,2,56
19802,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,203,1,150,3,Entry,820.4861111,3,27
17569,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,149,1,103,38,Entry,2611.2,3,1
17865,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,332,2,103,9,Entry,2957.2,1,110
19361,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,173,1,103,3,Entry,4330.463721,3,11
19723,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,225,1,71,3,Entry,408.0877866,3,49
17570,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,184,1,104,46,Entry,3796.4,3,36
17866,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,430,2,104,34,Entry,4418.3,2,134
19362,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,104,1,104,2,Entry,5274.541501,2,23
19724,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,211,1,72,3,Entry,1184.983827,3,35
17571,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,201,1,105,51,Entry,2773.7,3,53
17867,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,300,2,105,1,Entry,3444.9,1,78
19363,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,61,1,105,1,Entry,3937.711138,1,61
19725,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,224,1,73,3,Entry,561.8183851,3,48
17572,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,227,1,106,57,Entry,3181.5,4,5
17868,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,421,2,106,32,Entry,4438.2,2,125
19364,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,99,1,106,2,Entry,5109.639831,2,18
19726,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,141,1,74,2,Entry,434.7199476,2,53
17573,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,269,1,107,68,Entry,2954.7,4,47
17869,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,457,2,107,41,Entry,3551.7,3,87
19365,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,281,1,107,4,Entry,4799.947146,4,38
19615,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,47,1,33,2,Entry,1938.111888,1,24
17574,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,182,1,108,46,Entry,3460.7,3,34
17870,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,487,2,108,48,Entry,4690.2,3,117
19366,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,208,1,108,3,Entry,3903.443446,3,46
19616,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,57,1,34,2,Entry,1741.319444,1,29
17575,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,290,1,109,73,Entry,4815.4,4,68
17871,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,335,2,109,10,Entry,5050.9,1,113
19367,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,306,1,109,4,Entry,5210.123006,4,63
19727,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,181,1,75,3,Entry,348.1919824,3,5
17576,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,83,1,110,21,Entry,3119.8,2,9
17872,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,521,2,110,57,Entry,3354.9,4,77
19368,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,156,1,110,2,Entry,4069.956003,2,75
19728,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,58,1,76,1,Entry,64.74630021,1,58
17577,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,142,1,111,36,Entry,4451.2,2,68
17873,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,558,2,111,66,Entry,3082.2,4,114
19369,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,315,1,111,4,Entry,4553.556602,4,72
19729,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,256,1,77,3,Entry,75.07074321,3,80
17559,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,18,1,93,5,Entry,3801.4,1,18
17855,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,480,2,93,46,Entry,3655.1,3,110
19351,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,29,1,93,1,Entry,4708.631377,1,29
19606,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,13,1,24,1,Entry,1675.694444,1,7
17560,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,56,1,94,14,Entry,4260,1,56
17856,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,546,2,94,63,Entry,2308.4,4,102
19352,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,314,1,94,4,Entry,4282.164244,4,71
19607,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,69,1,25,2,Entry,1116.493056,1,35
17561,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,151,1,95,38,Entry,3178.1,3,3
17857,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,548,2,95,63,Entry,3125.4,4,104
19353,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,235,1,95,3,Entry,5809.616374,3,73
19608,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,37,1,26,2,Entry,773.4375,1,19
17562,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,236,1,96,59,Entry,4407.7,4,14
17858,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,485,2,96,48,Entry,4359.5,3,115
19354,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,218,1,96,3,Entry,5103.807663,3,56
19609,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,44,1,27,2,Entry,514.7887324,2,22
17563,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,280,1,97,70,Entry,4505.7,4,58
17859,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,384,2,97,22,Entry,4150,2,88
19355,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,25,1,97,1,Entry,3845.256583,1,25
19610,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,68,1,28,2,Entry,1491.319444,2,34
17564,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,90,1,98,23,Entry,1948.3,2,16
17860,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,578,2,98,71,Entry,2221.2,4,134
19356,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,289,1,98,4,Entry,4551.310782,4,46
19611,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,33,1,29,1,Entry,450,1,17
17565,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,40,1,99,10,Entry,4165.6,1,40
17861,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,571,2,99,69,Entry,3433.2,4,127
19357,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,117,1,99,2,Entry,3872.905267,2,36
19612,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,41,1,30,2,Entry,1688.556338,1,21
17566,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,275,1,100,69,Entry,2948.5,4,53
17862,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,511,2,100,54,Entry,3449,3,141
19358,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,308,1,100,4,Entry,3788.185284,4,65
19613,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,50,1,31,2,Entry,2015.467626,2,25
17567,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,212,1,101,53,Entry,4014.3,3,64
17863,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,552,2,101,64,Entry,4903.9,4,108
19359,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,100,1,101,2,Entry,5936.182806,2,19
19614,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,1,1,32,1,Entry,1629.370629,1,1
17568,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,187,1,102,47,Entry,4511.9,3,39
17864,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,589,2,102,74,Entry,4563.9,4,145
19360,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,298,1,102,4,Entry,6200.529502,4,55
19722,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,73,1,70,1,Entry,143.048352,1,73
15999,2017,DS,Stress,Alpha-Lattice,L17DS-14,83,1,102,17,Entry,1495,4,11
16000,2017,DS,Stress,Alpha-Lattice,L17DS-14,181,2,102,13,Entry,1471,3,37
16239,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,83,1,102,17,Entry,5490.42,4,11
16240,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,181,2,102,13,Entry,6067.96,3,37
16531,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,73,1,128,15,Entry,5452.62,3,17
16532,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,159,2,128,4,Entry,5463.01,1,47
16699,2017,WS,Stress,Alpha-Lattice,L17WS-14A,62,1,72,16,Entry,1598.21,3,16
16700,2017,WS,Stress,Alpha-Lattice,L17WS-14A,104,2,72,3,Entry,1517.86,1,35
17137,2018,DS,Non-Stress,Alpha-Lattice,L18DS-12,116,1,144,17,Entry,4810.39,6,6
17138,2018,DS,Non-Stress,Alpha-Lattice,L18DS-12,221,2,144,10,Entry,5917.92,4,23
17445,2018,DS,Stress,Alpha-Lattice,L18DS-14,116,1,144,6,Entry,2217.4,6,6
17446,2018,DS,Stress,Alpha-Lattice,L18DS-14,221,2,144,1,Entry,3129.1,4,23
15989,2017,DS,Stress,Alpha-Lattice,L17DS-14,32,1,97,7,Entry,1484.4,2,8
15990,2017,DS,Stress,Alpha-Lattice,L17DS-14,136,2,97,4,Entry,1024,1,40
16229,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,32,1,97,7,Entry,5953.6,2,8
16230,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,136,2,97,4,Entry,6125.58,1,40
16529,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,135,1,127,27,Entry,5351.94,5,23
16530,2017,WS,Non-Stress,Alpha-Lattice,L17WS-12,243,2,127,21,Entry,4498.77,4,47
16815,2017,WS,Stress,Alpha-Lattice,L17WS-14B,30,1,38,6,Entry,419.91,3,8
16816,2017,WS,Stress,Alpha-Lattice,L17WS-14B,74,2,38,4,Entry,1036.46,2,19
17135,2018,DS,Non-Stress,Alpha-Lattice,L18DS-12,99,1,143,15,Entry,6863.79,5,11
17136,2018,DS,Non-Stress,Alpha-Lattice,L18DS-12,302,2,143,22,Entry,7293.02,7,38
17443,2018,DS,Stress,Alpha-Lattice,L18DS-14,99,1,143,11,Entry,2645.4,5,11
17444,2018,DS,Stress,Alpha-Lattice,L18DS-14,302,2,143,16,Entry,2973.5,7,38
15991,2017,DS,Stress,Alpha-Lattice,L17DS-14,57,1,98,12,Entry,1685.9,3,9
15992,2017,DS,Stress,Alpha-Lattice,L17DS-14,147,2,98,6,Entry,850,2,27
16231,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,57,1,98,12,Entry,4698.79,3,9
16232,2017,DS,Non-Stress,Alpha-Lattice,L17DS-12,147,2,98,6,Entry,6214.89,2,27
15961,2017,DS,Stress,Alpha-Lattice,L17DS-14,66,1,83,14,Entry,1212,3,18
